mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1139.0,LH,Cont,7Networks_LH_Cont_PFCl_5,,-2.3560622,-4.458974,0.0,,,-1.5819792378736517,,,,,,,,-0.9086169106681959,1.0,,,,,,,,,,,,,-0.8635228654399261,1.0,,,,,,,,,,,,,-1.0792795513334223,1.0,,,,,,,,,,,,,1.1832658851108935,1.0,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-3.4622638,-4.458974,0.0,,,-0.945412652927857,,,,,,,,-0.8809602040678957,1.0,,,,,,,,,,,,,-0.9516986601147395,1.0,,,,,,,,,,,,,-0.6044943113149307,1.0,,,,,,,,,,,,,0.9804808821323171,1.0,,,,,,,,
1137.0,LH,Cont,7Networks_LH_Cont_PFCl_3,,-4.4925036,-4.458974,0.0,,,-0.8347106680510943,,,,,,,,-1.0189752207576885,1.0,,,,,,,,,,,,,-1.0473550504205686,1.0,,,,,,,,,,,,,-0.17438209826861334,1.0,,,,,,,,,,,,,0.7632338921127791,1.0,,,,,,,,
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.209387,5.509787,5.0,,,,,,-0.5073277630360786,,,,,,,,,,,,,-1.7751400143707012,2.0,,,,,,,,,,,,,-1.2513612546803614,1.0,,,,,,,,,,,,,-0.15508912899701927,1.0,,,,,,,,,,,,,-1.545609415847705,1.0
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.4043746,5.509787,5.0,,,,,,-0.6189100816320684,,,,,,,,,,,,,-1.7538286597046868,2.0,,,,,,,,,,,,,-1.1616011527319423,1.0,,,,,,,,,,,,,-0.3286389234255743,1.0,,,,,,,,,,,,,-0.7844513811374468,1.0
1047.0,LH,SomMot,7Networks_LH_SomMot_16,,5.6907825,5.509787,5.0,,,,,,-0.5324702832946542,,,,,,,,,,,,,-1.7315793731473452,2.0,,,,,,,,,,,,,-1.0389137078180537,1.0,,,,,,,,,,,,,-0.7425492946454719,1.0,,,,,,,,,,,,,-0.31425593268919144,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.8032002,5.509787,5.0,,,,,,-0.5921675351996344,,,,,,,,,,,,,-1.6137510481584258,2.0,,,,,,,,,,,,,-0.9457693158295826,1.0,,,,,,,,,,,,,-0.33143423462732163,1.0,,,,,,,,,,,,,-0.39932948087847897,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.8302197,5.509787,5.0,,,,,,-0.17938473106518035,,,,,,,,,,,,,-1.6057275295246,2.0,,,,,,,,,,,,,-0.8909590895677997,1.0,,,,,,,,,,,,,-0.03498573593085462,1.0,,,,,,,,,,,,,-0.5439097694292039,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.832929,5.509787,5.0,,,,,,-0.4688466424471826,,,,,,,,,,,,,-1.3690783131495532,2.0,,,,,,,,,,,,,-0.8364140564431909,1.0,,,,,,,,,,,,,-0.18518281993890925,1.0,,,,,,,,,,,,,-0.5301264804428846,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.819968,5.509787,5.0,,,,,,0.08690497438119968,,,,,,,,,,,,,-1.0252023993710344,2.0,,,,,,,,,,,,,-0.7755411851550685,1.0,,,,,,,,,,,,,-0.2768383232697816,1.0,,,,,,,,,,,,,-0.8955915399617265,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.7577267,5.509787,5.0,,,,,,-0.17434187267481088,,,,,,,,,,,,,-0.577075932116246,4.0,,,,,,,,,,,,,-0.7079007860962968,1.0,,,,,,,,,,,,,-0.08534662906018411,1.0,,,,,,,,,,,,,-0.9560496599048323,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.696277,5.509787,5.0,,,,,,-1.048082310696673,,,,,,,,,,,,,0.13286539055859456,4.0,,,,,,,,,,,,,-0.6359918336728474,1.0,,,,,,,,,,,,,-0.8423419692004702,1.0,,,,,,,,,,,,,-1.1523721584765134,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.641041,5.509787,5.0,,,,,,-1.5215565220736593,,,,,,,,,,,,,0.26995741489433583,4.0,,,,,,,,,,,,,-0.563851164206311,1.0,,,,,,,,,,,,,-0.6919903921262833,1.0,,,,,,,,,,,,,-1.1740526797026434,1.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.52555,5.509787,5.0,,,,,,-0.5504644144643375,,,,,,,,,,,,,0.13403112534939104,4.0,,,,,,,,,,,,,-0.46971635214439417,1.0,,,,,,,,,,,,,-0.048282318480501955,1.0,,,,,,,,,,,,,-0.29985580803231576,4.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.394932,5.509787,5.0,,,,,,-0.42319527400941304,,,,,,,,,,,,,0.4874662112614342,4.0,,,,,,,,,,,,,-0.36745973760089257,1.0,,,,,,,,,,,,,-0.9090867677470099,1.0,,,,,,,,,,,,,0.17616382780732592,4.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.335478,5.509787,5.0,,,,,,0.8511750261980026,,,,,,,,,,,,,0.7149602282334765,4.0,,,,,,,,,,,,,-0.2494126701914877,1.0,,,,,,,,,,,,,0.3774679071117141,1.0,,,,,,,,,,,,,0.3644854671380631,4.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.3233366,5.509787,5.0,,,,,,0.666814728958265,,,,,,,,,,,,,1.0061146012930335,4.0,,,,,,,,,,,,,-0.14350673683586324,1.0,,,,,,,,,,,,,0.9038868716742824,1.0,,,,,,,,,,,,,-0.12482157778141396,4.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.3801007,5.509787,5.0,,,,,,0.3784306512725957,,,,,,,,,,,,,1.3405688442779258,4.0,,,,,,,,,,,,,-0.08944907687446084,1.0,,,,,,,,,,,,,0.14342631758175955,1.0,,,,,,,,,,,,,-0.3144570153130745,1.0
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.464521,5.509787,5.0,,,,,,0.15030463297975521,,,,,,,,,,,,,1.3724127378440654,4.0,,,,,,,,,,,,,-0.09684582018041207,1.0,,,,,,,,,,,,,-0.17730489825585485,1.0,,,,,,,,,,,,,-0.37698534442003273,1.0
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.520603,5.509787,5.0,,,,,,-0.1841424822827375,,,,,,,,,,,,,1.254551824621373,4.0,,,,,,,,,,,,,-0.12794808582465445,1.0,,,,,,,,,,,,,0.018495176260566158,1.0,,,,,,,,,,,,,-0.031170861570139933,6.0
1039.0,LH,SomMot,7Networks_LH_SomMot_8,,5.473614,5.509787,5.0,,,,,,0.3545545670534097,,,,,,,,,,,,,1.1407278032415324,4.0,,,,,,,,,,,,,-0.17231229710378618,1.0,,,,,,,,,,,,,0.04641304510464264,1.0,,,,,,,,,,,,,-0.7123273611809888,1.0
