mics,hemisphere,network,label,t1_gradient1_SalVentAttn,fc_g1,fc_g1_network,network_int,t1_gradient1_Limbic,t1_gradient1_Default,t1_gradient1_Cont,t1_gradient1_DorsAttn,t1_gradient1_Vis,t1_gradient1_SomMot,Limbic_SC_P,Limbic_SC_dominant,Default_SC_P,Default_SC_dominant,Cont_SC_P,Cont_SC_dominant,SalVentAttn_SC_P,SalVentAttn_SC_dominant,DorsAttn_SC_P,DorsAttn_SC_dominant,Vis_SC_P,Vis_SC_dominant,SomMot_SC_P,SomMot_SC_dominant,Limbic_GD_P,Limbic_GD_dominant,Default_GD_P,Default_GD_dominant,Cont_GD_P,Cont_GD_dominant,SalVentAttn_GD_P,SalVentAttn_GD_dominant,DorsAttn_GD_P,DorsAttn_GD_dominant,Vis_GD_P,Vis_GD_dominant,SomMot_GD_P,SomMot_GD_dominant,Limbic_MPC_P,Limbic_MPC_dominant,Default_MPC_P,Default_MPC_dominant,Cont_MPC_P,Cont_MPC_dominant,SalVentAttn_MPC_P,SalVentAttn_MPC_dominant,DorsAttn_MPC_P,DorsAttn_MPC_dominant,Vis_MPC_P,Vis_MPC_dominant,SomMot_MPC_P,SomMot_MPC_dominant,Limbic_FC_P,Limbic_FC_dominant,Default_FC_P,Default_FC_dominant,Cont_FC_P,Cont_FC_dominant,SalVentAttn_FC_P,SalVentAttn_FC_dominant,DorsAttn_FC_P,DorsAttn_FC_dominant,Vis_FC_P,Vis_FC_dominant,SomMot_FC_P,SomMot_FC_dominant
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.8302197,5.509787,5.0,,,,,,-0.37417583727752685,,,,,,,,,,,,,-1.5047866250039086,2.0,,,,,,,,,,,,,-1.3194706590836072,1.0,,,,,,,,,,,,,-0.2093703439467169,1.0,,,,,,,,,,,,,-0.5343260131547843,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.832929,5.509787,5.0,,,,,,-0.559665095633026,,,,,,,,,,,,,-1.2518800721711638,4.0,,,,,,,,,,,,,-1.2739412578058709,1.0,,,,,,,,,,,,,-0.45339938031885774,1.0,,,,,,,,,,,,,-0.5216784082070349,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.819968,5.509787,5.0,,,,,,0.06622587843316623,,,,,,,,,,,,,-0.9709917776205904,4.0,,,,,,,,,,,,,-1.223129933198676,1.0,,,,,,,,,,,,,-0.46744980699182176,1.0,,,,,,,,,,,,,-0.9204503979539383,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.7577267,5.509787,5.0,,,,,,-0.1542824695753904,,,,,,,,,,,,,-0.5620615039108904,4.0,,,,,,,,,,,,,-1.166669671009497,1.0,,,,,,,,,,,,,-0.33696260352209106,1.0,,,,,,,,,,,,,-0.8404359896501323,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.696277,5.509787,5.0,,,,,,-1.0569962743776165,,,,,,,,,,,,,0.16497042375464982,4.0,,,,,,,,,,,,,-1.106646395510346,1.0,,,,,,,,,,,,,-1.1947458181690291,1.0,,,,,,,,,,,,,-0.9843248884627621,1.0
1043.0,LH,SomMot,7Networks_LH_SomMot_12,,5.641041,5.509787,5.0,,,,,,-1.4433352424611945,,,,,,,,,,,,,0.30141097789006477,4.0,,,,,,,,,,,,,-1.04642970298249,1.0,,,,,,,,,,,,,-1.2476078173377567,1.0,,,,,,,,,,,,,-1.0896557463540133,1.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.52555,5.509787,5.0,,,,,,-0.6423062324209347,,,,,,,,,,,,,0.09937612797967199,4.0,,,,,,,,,,,,,-0.9678542326407656,1.0,,,,,,,,,,,,,-0.5075523431834819,1.0,,,,,,,,,,,,,-0.404223663820819,4.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.394932,5.509787,5.0,,,,,,-0.689795923465148,,,,,,,,,,,,,0.49867994436476815,4.0,,,,,,,,,,,,,-0.8824993951761401,1.0,,,,,,,,,,,,,-1.239297214792609,1.0,,,,,,,,,,,,,-0.08754599339833113,4.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.335478,5.509787,5.0,,,,,,0.6883185912091345,,,,,,,,,,,,,0.7429326421555511,4.0,,,,,,,,,,,,,-0.7839640750221646,1.0,,,,,,,,,,,,,0.1526537842503408,1.0,,,,,,,,,,,,,0.03671257699280543,4.0
1040.0,LH,SomMot,7Networks_LH_SomMot_9,,5.3233366,5.509787,5.0,,,,,,0.7054759193270794,,,,,,,,,,,,,1.0897054697090134,4.0,,,,,,,,,,,,,-0.6955631068455451,1.0,,,,,,,,,,,,,0.5685956506593625,1.0,,,,,,,,,,,,,-0.39264669444799266,4.0
