roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z,network,hemisphere,network_int,bigbrain_g2,bigbrain_g2_network,t1_gradient1_Limbic,quantile_idx,Limbic_diff,t1_gradient1_Default,Default_diff,t1_gradient1_Cont,Cont_diff,t1_gradient1_SalVentAttn,SalVentAttn_diff,t1_gradient1_DorsAttn,DorsAttn_diff,t1_gradient1_Vis,Vis_diff,t1_gradient1_SomMot,SomMot_diff
30,1029,7Networks_LH_Vis_29,120.0,19.0,141.0,0.0,-16.0,-89.0,33.0,Vis,LH,6.0,0.3262178301811218,0.1346319546831436,,,0.77692753,,-0.042407535,,1.4361854,,-0.60206187,,-0.20545688,-0.06704368385320034,,,-0.8044622
31,1030,7Networks_LH_Vis_30,120.0,20.0,134.0,0.0,-12.0,-81.0,36.0,Vis,LH,6.0,0.2774123549461365,0.1346319546831436,,,0.914729,,0.35196474,,1.5837184,,-0.35803223,,0.13946979,-1.6566679892064753,,,-0.4438773
32,1031,7Networks_LH_Vis_31,120.0,20.0,135.0,0.0,-21.0,-79.0,45.0,Vis,LH,6.0,0.269722044467926,0.1346319546831436,,,0.84014696,,0.04461815,,1.9547399,,0.034786575,,0.0009957737,0.6528275296246309,,,-0.28113028
33,1032,7Networks_LH_SomMot_1,70.0,128.0,179.0,0.0,-50.0,-9.0,0.0,SomMot,LH,5.0,-0.012009180150926113,0.19480079292416475,,,0.07580666,,-0.84968513,,1.1392828,,0.13292123,,0.85639423,,-0.5019025,0.4271321435377349,
34,1033,7Networks_LH_SomMot_2,70.0,128.0,180.0,0.0,-56.0,-22.0,8.0,SomMot,LH,5.0,0.3459758758544922,0.19480079292416475,,,0.34880874,,-0.93565995,,1.1390901,,0.59462595,,1.1881881,,-0.5311976,-0.33720140140513205,
35,1034,7Networks_LH_SomMot_3,70.0,129.0,173.0,0.0,-36.0,-24.0,10.0,SomMot,LH,5.0,0.037249259650707245,0.19480079292416475,,-1.0,0.9022328,,-1.3129891,,0.6791154,,-0.18469597,,0.07320817,,0.91570127,-0.8898945051782521,
36,1035,7Networks_LH_SomMot_4,70.0,129.0,174.0,0.0,-38.0,-9.0,13.0,SomMot,LH,5.0,-0.043144430965185165,0.19480079292416475,,-1.0,-0.060078204,,-1.6359931,,-0.43213156,,0.6949351,,-0.5673227,,0.9436922,-0.7673269907122952,
37,1036,7Networks_LH_SomMot_5,70.0,129.0,175.0,0.0,-36.0,-26.0,19.0,SomMot,LH,5.0,0.3394049108028412,0.19480079292416475,,-1.0,0.93666536,,-2.1949444,,-0.75346726,,-2.298926,,-0.11223518,,0.27819556,-0.8307240838287557,
38,1037,7Networks_LH_SomMot_6,70.0,129.0,176.0,0.0,-59.0,-37.0,16.0,SomMot,LH,5.0,0.27617114782333374,0.19480079292416475,,-1.0,0.43961954,,-1.8767408,,0.35338968,,-0.121612,,1.0002909,,0.3892428,-0.8427723802500533,
39,1038,7Networks_LH_SomMot_7,70.0,129.0,177.0,0.0,-41.0,-35.0,14.0,SomMot,LH,5.0,0.45320555567741394,0.19480079292416475,,-1.0,0.7933394,,-1.0256215,,0.11300622,,-0.335154,,0.72891456,,-0.08677956,-0.8177609376662693,
